startTime	endTime	startLong	startLat	endLong	endLat	startX	startY	endX	endY	continuedTime	trans_pattern	fileName
1510037844.0	1510037881.0	113.9341469	22.53398627	113.93449380000001	22.53420681	493172.4063	2492988.5	493208.0938	2493013.0	38	2.0	czp_1112.txt
1510037882.0	1510037885.0	113.93449380000001	22.53420681	113.93449380000001	22.53420681	493208.0938	2493013.0	493208.0938	2493013.0	4	1.0	czp_1112.txt
1510037886.0	1510037961.0	113.93449380000001	22.53420681	113.93526259999999	22.53442925	493208.0938	2493013.0	493287.1875	2493037.5	75	2.0	czp_1112.txt
1510037962.0	1510037962.0	113.93526259999999	22.53442925	113.93526259999999	22.53442925	493287.1875	2493037.5	493287.1875	2493037.5	1	5.0	czp_1112.txt
1510037963.0	1510037998.0	113.93526259999999	22.53442925	113.9353876	22.53443956	493287.1875	2493037.5	493300.0625	2493038.75	36	2.0	czp_1112.txt
1510037999.0	1510037999.0	113.9353876	22.53443956	113.9353876	22.53443956	493300.0625	2493038.75	493300.0625	2493038.75	1	1.0	czp_1112.txt
1510038000.0	1510038001.0	113.9353876	22.53443956	113.9353876	22.53443956	493300.0625	2493038.75	493300.0625	2493038.75	2	2.0	czp_1112.txt
1510038002.0	1510038002.0	113.9353876	22.53443956	113.9353876	22.53443956	493300.0625	2493038.75	493300.0625	2493038.75	1	1.0	czp_1112.txt
1510038003.0	1510038005.0	113.9353876	22.53443956	113.9353876	22.53443956	493300.0625	2493038.75	493300.0625	2493038.75	3	2.0	czp_1112.txt
1510038006.0	1510038010.0	113.9353876	22.53443956	113.9353876	22.53443956	493300.0625	2493038.75	493300.0625	2493038.75	5	1.0	czp_1112.txt
1510038011.0	1510038096.0	113.9353876	22.53443956	113.9361013	22.53485243	493300.0625	2493038.75	493373.5	2493084.5	86	2.0	czp_1112.txt
1510038097.0	1510038097.0	113.9361013	22.53485243	113.9361013	22.53485243	493373.5	2493084.5	493373.5	2493084.5	1	1.0	czp_1112.txt
1510038098.0	1510038098.0	113.9361013	22.53485243	113.9361013	22.53485243	493373.5	2493084.5	493373.5	2493084.5	1	2.0	czp_1112.txt
1510038099.0	1510038100.0	113.9361013	22.53485243	113.9361013	22.53485243	493373.5	2493084.5	493373.5	2493084.5	2	1.0	czp_1112.txt
1510038101.0	1510038126.0	113.9361013	22.53485243	113.9364149	22.53478923	493373.5	2493084.5	493405.75	2493077.5	26	2.0	czp_1112.txt
1510038127.0	1510038138.0	113.9364149	22.53478923	113.9364149	22.53478923	493405.75	2493077.5	493405.75	2493077.5	12	1.0	czp_1112.txt
1510038139.0	1510038139.0	113.9364149	22.53478923	113.9364149	22.53478923	493405.75	2493077.5	493405.75	2493077.5	1	2.0	czp_1112.txt
1510038140.0	1510038542.0	113.9364149	22.53478923	113.9365837	22.5355013	493405.75	2493077.5	493423.1563	2493156.25	403	1.0	czp_1112.txt
1510038543.0	1510038544.0	113.9365837	22.5355013	113.93646509999998	22.53550944	493423.1563	2493156.25	493410.9688	2493157.25	2	2.0	czp_1112.txt
1510038545.0	1510038545.0	113.93643829999999	22.53550781	113.93643829999999	22.53550781	493408.1875	2493157.0	493408.1875	2493157.0	1	1.0	czp_1112.txt
1510038546.0	1510038546.0	113.9364233	22.53550944	113.9364233	22.53550944	493406.6563	2493157.25	493406.6563	2493157.25	1	2.0	czp_1112.txt
1510038547.0	1510038547.0	113.9364084	22.53551758	113.9364084	22.53551758	493405.125	2493158.0	493405.125	2493158.0	1	1.0	czp_1112.txt
1510038548.0	1510038550.0	113.9364084	22.53551758	113.93639350000001	22.53550781	493405.125	2493158.0	493403.5938	2493157.0	3	2.0	czp_1112.txt
1510038551.0	1510038560.0	113.9364	22.53550266	113.93654679999999	22.53543972	493404.25	2493156.5	493419.3438	2493149.5	10	1.0	czp_1112.txt
1510038561.0	1510038561.0	113.93654679999999	22.53543972	113.93654679999999	22.53543972	493419.3438	2493149.5	493419.3438	2493149.5	1	2.0	czp_1112.txt
1510038562.0	1510038566.0	113.93654679999999	22.53543972	113.9365785	22.53543132	493419.3438	2493149.5	493422.625	2493148.5	5	1.0	czp_1112.txt
1510038567.0	1510038567.0	113.9365416	22.53542128	113.9365416	22.53542128	493418.8125	2493147.25	493418.8125	2493147.25	1	2.0	czp_1112.txt
1510038568.0	1510038730.0	113.93651990000001	22.53540799	113.9366138	22.53537788	493416.5938	2493146.0	493426.25	2493142.5	162	1.0	czp_1112.txt
1510038731.0	1510038735.0	113.93657169999999	22.53536784	113.93650659999999	22.53535455	493421.9063	2493141.5	493415.2188	2493140.0	5	2.0	czp_1112.txt
1510038736.0	1510038736.0	113.93650659999999	22.53535455	113.93650659999999	22.53535455	493415.2188	2493140.0	493415.2188	2493140.0	1	1.0	czp_1112.txt
1510038737.0	1510038737.0	113.93643829999999	22.53533936	113.93643829999999	22.53533936	493408.1875	2493138.25	493408.1875	2493138.25	1	2.0	czp_1112.txt
1510038738.0	1510038751.0	113.93643829999999	22.53534614	113.9366219	22.53532959	493408.1875	2493139.0	493427.0625	2493137.25	14	1.0	czp_1112.txt
1510038752.0	1510038753.0	113.936652	22.53532308	113.9366854	22.53531982	493430.1875	2493136.5	493433.5938	2493136.0	2	2.0	czp_1112.txt
1510038754.0	1510038757.0	113.93671029999999	22.5353182	113.936687	22.53528809	493436.1875	2493136.0	493433.7813	2493132.5	4	1.0	czp_1112.txt
1510038758.0	1510038763.0	113.936687	22.53527995	113.93667859999998	22.53526801	493433.7813	2493131.75	493432.9063	2493130.5	6	2.0	czp_1112.txt
1510038764.0	1510038786.0	113.9366721	22.53526801	113.9365649	22.53527452	493432.25	2493130.5	493421.2188	2493131.0	23	1.0	czp_1112.txt
1510038787.0	1510038787.0	113.9365649	22.53527452	113.9365649	22.53527452	493421.2188	2493131.0	493421.2188	2493131.0	1	2.0	czp_1112.txt
1510038788.0	1510038796.0	113.936652	22.53534804	113.93665359999999	22.53540283	493430.1875	2493139.25	493430.3438	2493145.25	9	1.0	czp_1112.txt
1510038797.0	1510038821.0	113.93665359999999	22.53540283	113.93650009999999	22.53539632	493430.3438	2493145.25	493414.5625	2493144.5	25	2.0	czp_1112.txt
1510038822.0	1510038826.0	113.93650009999999	22.53539632	113.93650009999999	22.53539632	493414.5625	2493144.5	493414.5625	2493144.5	5	1.0	czp_1112.txt
1510038827.0	1510038830.0	113.93650009999999	22.53539632	113.9364168	22.53534939	493414.5625	2493144.5	493405.9688	2493139.5	4	2.0	czp_1112.txt
1510038831.0	1510038831.0	113.9364133	22.53534776	113.9364133	22.53534776	493405.625	2493139.25	493405.625	2493139.25	1	1.0	czp_1112.txt
1510038832.0	1510038832.0	113.9364133	22.53534776	113.9364133	22.53534776	493405.625	2493139.25	493405.625	2493139.25	1	2.0	czp_1112.txt
1510038833.0	1510038834.0	113.9364133	22.53534776	113.9364133	22.53534776	493405.625	2493139.25	493405.625	2493139.25	2	1.0	czp_1112.txt
1510038835.0	1510038843.0	113.9364133	22.53534776	113.93641000000001	22.53534098	493405.625	2493139.25	493405.2813	2493138.5	9	2.0	czp_1112.txt
1510038844.0	1510038857.0	113.93641000000001	22.53534098	113.93641000000001	22.535314399999997	493405.2813	2493138.5	493405.2813	2493135.5	14	1.0	czp_1112.txt
1510038858.0	1510038858.0	113.93641000000001	22.535314399999997	113.93641000000001	22.535314399999997	493405.2813	2493135.5	493405.2813	2493135.5	1	2.0	czp_1112.txt
1510038859.0	1510038945.0	113.93641000000001	22.535314399999997	113.936302	22.534588	493405.2813	2493135.5	493394.125	2493055.0	87	1.0	czp_1112.txt
1510038946.0	1510038966.0	113.936302	22.534588	113.936457	22.535145	493351.1008	2493123.199	493360.2839	2493144.0	21	8.0	czp_1112.txt
1510038967.0	1510043649.0	113.93632	22.53527262	113.936485	22.53515100000001	493360.6852	2493143.932	493359.2909	2493142.519	4674	7.0	czp_1112.txt
1510043650.0	1510043794.0	113.936485	22.53515100000001	113.93566799999999	22.535218	493359.0601	2493142.437	493365.5989	2493144.383	144	8.0	czp_1112.txt
1510043795.0	1510045599.0	113.93566799999999	22.535218	113.936384	22.535099	493365.9516	2493144.707	493365.6799	2493147.8430000003	1800	7.0	czp_1112.txt
1510045600.0	1510045653.0	113.936384	22.535099	113.936384	22.535099	493366.0796	2493147.826	493379.0676	2493140.377	54	8.0	czp_1112.txt
1510045654.0	1510045719.0	113.936384	22.535099	113.93578600000001	22.535058	493379.31799999997	2493140.578	493381.4984	2493142.288	65	7.0	czp_1112.txt
