Time	Long	Lat	X	Y	Ax	Ay	Az	time	A1	A2	A3	A4	A5
1510297940	113.93636799999999	22.535014	380	448	-0.37781423	0.5248464	-9.619245	2017/11/10 15:12	493400.9375	2493102.25	493380.3612138224	2493146.9497133675	3
1510297941	113.93636799999999	22.535014	380	448	-0.37920454	0.51714736	-9.622849	2017/11/10 15:12	493400.9375	2493102.25	493380.3853795191	2493146.9738791077	3
1510297942	113.93636799999999	22.535014	380	448	-0.38457432	0.51864964	-9.624313	2017/11/10 15:12	493400.9375	2493102.25	493380.4942576974	2493147.082757325	3
1510297943	113.93636799999999	22.535014	380	448	-0.38419876	0.52090305	-9.613236	2017/11/10 15:12	493400.9375	2493102.25	493380.3645759592	2493146.953075622	3
1510297944	113.93636799999999	22.535014	380	448	2.5540607000000004	-0.89929897	-8.442692999999998	2017/11/10 15:12	493400.9375	2493102.25	493380.24885071546	2493146.837350411	3
1510297945	113.93636799999999	22.535014	380	448	1.0297885	-5.202272	6.687239599999999	2017/11/10 15:12	493400.9375	2493102.25	493380.235291839	2493146.823791563	3
1510297946	113.93636799999999	22.535014	380	448	-0.17163138	0.10440594	9.5683565	2017/11/10 15:12	493400.9375	2493102.25	493380.31201673474	2493146.9005164853	3
1510297947	113.93636799999999	22.535014	380	448	-0.23205335	0.2990909	9.780313	2017/11/10 15:12	493400.9375	2493102.25	493380.19908984966	2493146.787589624	3
1510297948	113.93636799999999	22.535014	380	448	-0.31866342	0.22721429	9.7782955	2017/11/10 15:12	493400.9375	2493102.25	493380.35397714446	2493146.9424769403	3
1510297949	113.93636799999999	22.535014	380	448	-0.30420437	0.17050472	9.773975	2017/11/10 15:12	493400.9375	2493102.25	493380.29273167945	2493146.8812314947	3
1510297950	113.93636799999999	22.535014	380	415	-0.14162622	0.31235123	9.814017	2017/11/10 15:12	493400.9375	2493102.25	493380.48735657067	2493146.761944161	3
1510297951	113.93636799999999	22.535014	380	415	-0.21125297	-0.013520198	9.788623	2017/11/10 15:12	493400.9375	2493102.25	493380.56325262773	2493146.553788869	3
1510297952	113.93636799999999	22.535014	380	415	-0.18702932	-0.01840249	9.7720995	2017/11/10 15:12	493400.9375	2493102.25	493380.542955837	2493146.276461092	3
1510297953	113.93636799999999	22.535014	380	415	-0.18766849	-0.022652827	9.784183	2017/11/10 15:12	493400.9375	2493102.25	493380.4967780575	2493145.997702378	3
1510297954	113.93636799999999	22.535014	380	415	-0.16704154	-0.021916147	9.793758	2017/11/10 15:12	493400.9375	2493102.25	493380.53885438765	2493145.8293220173	3
1510297955	113.93636799999999	22.535014	380	415	-0.16299343	-0.018590271000000002	9.795946	2017/11/10 15:12	493400.9375	2493102.25	493380.5464237833	2493145.6464543985	3
1510297956	113.93636799999999	22.535014	380	415	-0.17519914	-0.013332416000000001	9.793693	2017/11/10 15:12	493400.9375	2493102.25	493380.4629609189	2493145.3906698255	3
1510297957	113.93636799999999	22.535014	380	415	-0.19485109	-0.02394201	9.790075	2017/11/10 15:12	493400.9375	2493102.25	493380.6312532929	2493145.4030325804	3
1510297958	113.93636799999999	22.535014	380	415	-0.23660344	-0.000375551	9.783928	2017/11/10 15:12	493400.9375	2493102.25	493380.7161483963	2493145.3468308575	3
1510297959	113.93636799999999	22.535014	380	415	-0.22082981	-0.08393786	9.796510000000001	2017/11/10 15:12	493400.9375	2493102.25	493380.52574715903	2493145.028754618	3
1510297960	113.93636799999999	22.535014	380	415	-0.20369121	-0.062065057	9.795414	2017/11/10 15:12	493400.9375	2493102.25	493380.54529282433	2493144.932770356	3
1510297961	113.93636799999999	22.535014	380	415	-0.20505624	-0.061404205999999996	9.780925	2017/11/10 15:12	493400.9375	2493102.25	493380.41984033247	2493144.702777712	3
1510297962	113.93636799999999	22.535014	380	415	-0.20674625	-0.058024168	9.7968855	2017/11/10 15:12	493400.9375	2493102.25	493380.5116417212	2493144.699983323	3
1510297963	113.93636799999999	22.535014	380	415	-0.2082485	-0.054456327	9.786746	2017/11/10 15:12	493400.9375	2493102.25	493380.54459124315	2493144.6473354828	3
1510297964	113.93636799999999	22.535014	380	415	-0.20387538	-0.059486683	9.786759	2017/11/10 15:12	493400.9375	2493102.25	493380.71279231744	2493144.7380816373	3
1510297965	113.93636799999999	22.535014	380	415	-0.20768516	-0.062906444	9.784493	2017/11/10 15:12	493400.9375	2493102.25	493380.72089331684	2493144.67609561	3
1510297966	113.93636799999999	22.535014	380	415	-0.2031387	-0.05267242	9.783628	2017/11/10 15:12	493400.9375	2493102.25	493380.71266963554	2493144.604451925	3
1510297967	113.93636799999999	22.535014	380	415	-0.20261508	-0.05426855	9.786369	2017/11/10 15:12	493400.9375	2493102.25	493380.63891209825	2493144.473307207	3
1510297968	113.93636799999999	22.535014	380	415	-0.2033662	-0.06008975	9.789374	2017/11/10 15:12	493400.9375	2493102.25	493380.48564984236	2493144.268116722	3
1510297969	113.93636799999999	22.535014	380	415	-0.20866378	-0.056539975	9.791364	2017/11/10 15:12	493400.9375	2493102.25	493380.5852448554	2493144.3207231737	3
